Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Total Traded Quantity,Turnover,No of Trades
RELCAPITAL,EQ,02-May-17,664.8,667.4,671.7,655.55,664.85,665.25,"32,77,887","2,17,73,83,003.10","50,033"
RELCAPITAL,EQ,03-May-17,665.25,668.6,678.5,662.1,670.35,671.7,"31,32,617","2,10,12,58,503.65","43,075"
RELCAPITAL,EQ,04-May-17,671.7,673,677.2,667,671.55,672,"18,33,488","1,23,29,94,849.25","34,060"
RELCAPITAL,EQ,05-May-17,672,672.65,672.65,642.75,651.35,652.25,"24,39,049","1,60,24,61,932.65","43,359"
RELCAPITAL,EQ,08-May-17,652.25,657,665.4,650.1,659.2,660.5,"18,13,501","1,19,57,41,988.10","28,861"
RELCAPITAL,EQ,09-May-17,660.5,662.1,687.75,657.35,687.4,682.5,"35,21,723","2,36,62,24,637.60","46,512"
RELCAPITAL,EQ,10-May-17,682.5,687.3,692.5,682.05,683.5,685.25,"30,65,540","2,10,55,51,942.35","39,963"
RELCAPITAL,EQ,11-May-17,685.25,686.9,689.2,671.25,673.8,673.7,"17,26,283","1,17,28,51,393.55","27,835"
RELCAPITAL,EQ,12-May-17,673.7,682.2,686,663.3,666.5,667.35,"24,63,615","1,65,82,80,596.40","43,987"
RELCAPITAL,EQ,15-May-17,667.35,670.15,681,667.05,675.65,675.25,"16,78,875","1,13,32,38,475.75","29,118"
RELCAPITAL,EQ,16-May-17,675.25,676.25,680,670.15,677.3,677.8,"17,04,327","1,15,12,14,241.40","33,942"
RELCAPITAL,EQ,17-May-17,677.8,679,687.85,674.05,677.3,677.45,"21,55,696","1,46,68,72,057.20","34,570"
RELCAPITAL,EQ,18-May-17,677.45,667.5,672.95,653,654.75,657.2,"27,90,466","1,85,34,24,811.15","46,717"
RELCAPITAL,EQ,19-May-17,657.2,660.1,669.3,646.05,655.5,654.5,"24,08,888","1,58,26,47,711.10","47,776"
RELCAPITAL,EQ,22-May-17,654.5,658.95,661.7,633.1,638.15,636.7,"20,10,984","1,29,45,39,447.35","32,324"
RELCAPITAL,EQ,23-May-17,636.7,637.9,639.9,605.3,617.05,621.15,"37,19,226","2,31,22,06,976.85","65,103"
RELCAPITAL,EQ,24-May-17,621.15,620.95,624.8,560.85,576,578.55,"87,96,372","5,17,29,62,818.65","1,48,907"
RELCAPITAL,EQ,25-May-17,578.55,580.5,583,564.55,579.5,576.3,"46,20,691","2,64,65,96,093.30","64,811"
RELCAPITAL,EQ,26-May-17,576.3,580,602,577.3,591.8,593.8,"33,55,281","1,98,90,52,178.00","45,137"
RELCAPITAL,EQ,29-May-17,593.8,589.65,589.65,531.05,543.15,539.35,"63,27,996","3,47,97,14,266.75","85,435"
RELCAPITAL,EQ,30-May-17,539.35,540,561.65,523.3,553.5,551.55,"55,61,751","3,05,63,23,410.35","77,114"
RELCAPITAL,EQ,31-May-17,551.55,555.9,571.15,541,563,561.5,"67,69,646","3,76,96,35,128.60","96,525"
RELCAPITAL,EQ,01-Jun-17,561.5,565.3,565.9,545.55,550,551.05,"53,49,569","2,96,71,97,583.75","65,939"
RELCAPITAL,EQ,02-Jun-17,551.05,553.8,558.8,549,551,551.4,"35,80,615","1,98,12,13,965.30","42,579"
RELCAPITAL,EQ,05-Jun-17,551.4,560,571.7,555.05,557.8,557.95,"34,83,893","1,95,78,80,997.70","46,220"
RELCAPITAL,EQ,06-Jun-17,557.95,570,573.45,549.05,562.1,562.4,"39,60,663","2,21,82,57,147.70","57,360"
RELCAPITAL,EQ,07-Jun-17,562.4,562,588.15,554.5,585.5,584.85,"95,20,105","5,48,15,06,078.90","1,14,434"
RELCAPITAL,EQ,08-Jun-17,584.85,591.6,596,576.5,577.3,579.4,"54,67,171","3,20,76,57,844.20","68,713"
RELCAPITAL,EQ,09-Jun-17,579.4,575,591.2,571,588.75,588.4,"34,26,886","1,99,18,94,042.00","52,129"
RELCAPITAL,EQ,12-Jun-17,588.4,584.9,599,581.1,590.5,590.15,"36,14,246","2,13,78,98,488.80","53,850"
RELCAPITAL,EQ,13-Jun-17,590.15,591.9,599.6,582.1,583,587.25,"36,86,377","2,18,56,30,858.30","51,726"
RELCAPITAL,EQ,14-Jun-17,587.25,586.5,605.8,583.3,595.6,597.35,"45,20,925","2,69,57,24,220.35","68,254"
RELCAPITAL,EQ,15-Jun-17,597.35,594.8,604.8,590.1,599.95,600.3,"33,11,313","1,98,43,41,467.30","59,596"
RELCAPITAL,EQ,16-Jun-17,600.3,604.05,609,601.25,602,602.85,"26,64,674","1,61,19,08,166.05","53,188"
RELCAPITAL,EQ,19-Jun-17,602.85,605.25,615,605,614.8,611.9,"21,73,990","1,32,50,13,444.15","35,469"
RELCAPITAL,EQ,20-Jun-17,611.9,615.35,617.5,608,611,611.45,"15,90,966","97,54,20,676.90","24,580"
RELCAPITAL,EQ,21-Jun-17,611.45,610.9,628.8,609.65,624.8,625.95,"40,16,728","2,50,04,97,132.35","74,418"
RELCAPITAL,EQ,22-Jun-17,625.95,628.7,638,621.3,627.15,627.25,"32,62,388","2,06,26,52,081.80","63,895"
RELCAPITAL,EQ,23-Jun-17,627.25,627,654.5,618.3,653,651.5,"76,13,300","4,88,61,95,560.85","1,18,609"
RELCAPITAL,EQ,27-Jun-17,651.5,653.95,663.9,640.8,656.7,658.4,"48,11,349","3,15,28,41,142.90","79,360"
RELCAPITAL,EQ,28-Jun-17,658.4,654,660,645.65,649.1,651.45,"23,90,070","1,55,91,77,106.75","33,955"
RELCAPITAL,EQ,29-Jun-17,651.45,654.7,658.4,643.05,647.15,648.05,"31,16,464","2,02,48,53,606.60","46,867"
RELCAPITAL,EQ,30-Jun-17,648.05,646.8,647.35,636.15,643.75,643.6,"22,73,822","1,45,94,69,030.45","31,797"
RELCAPITAL,EQ,03-Jul-17,643.6,643.6,659.7,643,657.95,656.55,"23,92,474","1,56,28,42,785.20","30,769"
RELCAPITAL,EQ,04-Jul-17,656.55,659.3,659.4,642.75,651,649.9,"16,74,885","1,08,97,83,331.55","23,676"
RELCAPITAL,EQ,05-Jul-17,649.9,652.95,664.55,648.15,663.5,662.95,"21,71,726","1,43,08,29,143.65","28,324"
RELCAPITAL,EQ,06-Jul-17,662.95,663.55,670.7,660.4,663.9,664.1,"24,47,546","1,63,05,84,877.95","43,099"
RELCAPITAL,EQ,07-Jul-17,664.1,660,667.8,658.8,661,661,"17,45,890","1,15,72,85,619.50","31,420"
RELCAPITAL,EQ,10-Jul-17,661,670,670,654,665.4,664.25,"3,17,116","21,08,62,063.75","4,549"
RELCAPITAL,EQ,11-Jul-17,664.25,667.15,667.6,647.25,649.15,650.2,"17,82,104","1,17,43,13,959.70","28,064"
RELCAPITAL,EQ,12-Jul-17,650.2,651.6,660,644.1,659.35,658,"19,34,457","1,26,27,90,106.05","40,114"
RELCAPITAL,EQ,13-Jul-17,658,661.3,667.8,656.1,666,663.3,"18,32,514","1,21,30,11,181.20","34,647"
RELCAPITAL,EQ,14-Jul-17,663.3,665.2,680.8,659.2,675.15,675.6,"35,49,366","2,39,32,12,832.90","49,666"
RELCAPITAL,EQ,17-Jul-17,675.6,678,678,668.65,669.05,670.45,"18,10,879","1,21,81,74,393.55","29,177"
RELCAPITAL,EQ,18-Jul-17,670.45,668.3,676.65,664.1,669.1,670.35,"17,30,255","1,16,26,63,931.65","35,594"
RELCAPITAL,EQ,19-Jul-17,670.35,670.4,672.5,651,659.5,660.55,"30,94,672","2,03,81,32,565.55","61,864"
RELCAPITAL,EQ,20-Jul-17,660.55,662.9,668.5,657.55,660,659.55,"15,93,058","1,05,69,31,918.55","29,935"
RELCAPITAL,EQ,21-Jul-17,659.55,663,665.55,636.85,650,650.4,"21,94,024","1,43,25,66,219.95","41,652"
RELCAPITAL,EQ,24-Jul-17,650.4,651.4,657.5,644.95,651.8,650.4,"14,43,015","94,12,21,482.00","22,404"
RELCAPITAL,EQ,25-Jul-17,650.4,652.95,655,646.25,649.8,650.05,"12,24,549","79,58,09,722.25","24,893"
RELCAPITAL,EQ,26-Jul-17,650.05,653,659.95,648.4,656.65,655.65,"20,17,252","1,32,06,84,005.10","29,590"
RELCAPITAL,EQ,27-Jul-17,655.65,658.95,673.95,655.55,661.3,659.5,"39,39,218","2,62,33,97,031.60","58,001"
RELCAPITAL,EQ,28-Jul-17,659.5,662,721,660.25,719,718.65,"1,39,31,211","9,80,85,50,183.60","1,74,346"
RELCAPITAL,EQ,31-Jul-17,718.65,719,735.2,714.3,722,724.4,"57,64,372","4,18,61,09,299.85","70,842"
RELCAPITAL,EQ,01-Aug-17,724.4,724.7,729.3,714.25,725,723.3,"27,61,906","1,99,23,80,640.50","47,146"
RELCAPITAL,EQ,02-Aug-17,723.3,726,743.55,719.2,726.5,730.45,"47,51,855","3,48,83,71,986.35","68,615"
RELCAPITAL,EQ,03-Aug-17,730.45,730.9,734,718.6,721,722.7,"22,32,880","1,62,12,65,133.70","39,829"
RELCAPITAL,EQ,04-Aug-17,722.7,723.7,747.95,721.1,746.5,744.1,"52,19,661","3,86,14,61,351.50","91,050"
RELCAPITAL,EQ,07-Aug-17,744.1,749.5,785.7,743.3,781.25,781.4,"56,86,320","4,35,75,53,073.65","90,515"
RELCAPITAL,EQ,08-Aug-17,781.4,780,797.6,763.5,783.45,786.05,"73,06,516","5,73,35,76,414.70","1,02,798"
RELCAPITAL,EQ,09-Aug-17,786.05,781.4,818.5,775.1,798,799.5,"98,24,920","7,88,78,24,628.90","1,54,850"
RELCAPITAL,EQ,10-Aug-17,799.5,797.4,811.8,743.25,768.3,764.25,"72,74,484","5,69,80,95,469.65","99,548"
